Problem ID,Problem Description,Hint,A,B,C,D,Feedback,answer,ansValue
11,An insurance company pays claims on an average of 25 cases per day where deer were hit by cars. The average size of these claims is $2100 with a standard deviation of $4300. What is the variance of the total amount this company will pay out on such claims tomorrow?,Use Law of Total Variance.,\(25^2(4300)^2\),\(25(4300)^2\),\(25(4300)^2+25(2100)^2\),\(25^2\cdot(2100)^2\),,C,\(25(4300)^2+25(2100)^2\)
12,An insurance company pays claims on an average of 25 cases per day where deer were hit by cars. The average size of these claims is $2100 with a standard deviation of $4300. What is the expected total amount this company will pay out on such claims next week?,What is the distribution of the number of claims in a week?,\(7*25*2100\),2100,\(25(2100)\),\(7*25\),,A,\(7*25*2100\)
13,"Twelve men and ten women work in an office. If five of these workers are chosen randomly to plan a company picnic, what is the probability that three men are on this planning committee?",What type of variable is the number of men on the committee?,\({{5}\choose{3}}\left(\frac{12}{22}\right)^3\left(\frac{10}{22}\right)^2\),\(\frac{ {{12}\choose{3}}\cdot {{10}\choose{2}} } {{22}\choose{5}}\),\({{12}\choose{3}}\cdot\left({\frac{3}{12}}\right)^3\cdot\left({\frac{2}{10}}\right)^2\),\(\frac{ {22}\choose{5} } { {{22}\choose{12}} \cdot {{22}\choose{10}} }\),,B,\(\frac{ {{12}\choose{3}}\cdot {{10}\choose{2}} } {{22}\choose{5}}\)
14,"Twelve men and ten women work in an office. If five of these workers are chosen randomly to plan a company picnic, what is the variance of the number of women on this planning committee?",What type of variable is the number of women on the committee?,\(5\left(\frac{12}{22}\right)\left(\frac{10}{22}\right)\),\(5^2\left(\frac{12}{22}\right)\left(\frac{10}{22}\right)\),\(\left(\frac{12}{22}\right)\left(\frac{10}{22}\right)\),\(5\left(\frac{12}{22}\right)\cdot\left(\frac{10}{22}\right)\cdot\left(\frac{22-5}{22-1}\right)\),,D,\(5\left(\frac{12}{22}\right)\cdot\left(\frac{10}{22}\right)\cdot\left(\frac{22-5}{22-1}\right)\)
15,"Twelve men and ten women work in an office. If five of these workers are chosen randomly to plan a company picnic, and five people are also chosen randomly to plan a second event, what is the probability that no one is on both committees.",What type of variable is the number of people on both committees?,\(\frac{{{5}\choose{0}}{{17}\choose{5}}}{{22}\choose{5}}\),\(\left(\frac{5}{22}\right)^2\),\(\left(\frac{17}{22}\right)^2\),\(1-\frac{ {17}\choose{5} } { {22}\choose{5}}\),,A,\(\frac{{{5}\choose{0}}{{17}\choose{5}}}{{22}\choose{5}}\)
16,"In a random sample of 10 households in Pennsylvania, what is the probability that all of them will have an income above the median for that state?",What is the probability that a single household is above the median?,\(\left(\frac{1}{2}\right)^{10}\),\(\frac{1}{10}\),\(\left(\frac{1}{10}\right)^2\),\( {{10}\choose{2}}\cdot\left(\frac{1}{2}\right)^{10}\),,A,\(\left(\frac{1}{2}\right)^{10}\)
17,"In a random sample of 10 households in Pennsylvania, what is the expected value of the cube of the number of them that will have an income above the median for that state?",Mean of a function of a random variable.,\(\left[10\left(\frac{1}{2}\right)\right]^3\),\( \left[\sum\limits^{10}_{i=0} {{10}\choose{i}}\cdot\left(\frac{1}{2}\right)^{10}\right]^3\),\(\sum^{10}_{i=0}i^3\cdot{{10}\choose{i}}\cdot\left(\frac{1}{2}\right)^{10}\),\(10\left(\frac{1}{2}\right)\),,C,\(\sum^{10}_{i=0}i^3\cdot{{10}\choose{i}}\cdot\left(\frac{1}{2}\right)^{10}\)
18,"In sampling households in Pennsylvania, what is the variance of the number you will sample until you find three that have an income above the median for that state?",What type of variable is the number you need to find three above the median?,\({3^2}\left(\frac{1}{2}\right)^2 = {\frac{9}{4}}\),\(\frac{3}{\left(\frac{1}{2}\right)^2}=12\),\(3\left(\frac{1}{2}\right)\left(\frac{1}{2}\right)=\frac{3}{4}\),\(3\cdot\frac{\frac{1}{2}}{\left(\frac{1}{2}\right)^2}=6\),,D,\(3\cdot\frac{\frac{1}{2}}{\left(\frac{1}{2}\right)^2}=6\)
19,"For the next car that breaks down on the Pennsylvania turnpike, what is the probability that the absolute value of the log of the distance to the next mile marker is greater than 2?",Apply the CDF transformation technique.,\(e^{-2}\),\(\frac{1}{2}\),0,\(\ln(2)\),,A,\(e^{-2}\)
20,"For the next five cars that break down on the Pennsylvania turnpike, what is the density of their median distance to the next mile marker?",What type of distribution is median of five uniform random variables?,\( \begin{cases} 1  & \text{ for } 0 \leq x<1 \\ 0 & \text{otherwise}\end{cases}\),\(\begin{cases} \frac{3}{5}e^{-0.6x} & \text{ for } x>0 \\ 0 & \text{otherwise}\end{cases}\),"\(\left\{ \begin{array}{l}{{5}\choose{2}}x^3\left(1-x\right)^3 \text{ for }\\ \qquad \!\! x\in\{0,1,2,3,4\}\\ 0 \quad \text{otherwise}\end{array}\right.\)",\(\left\{\begin{array}{1}\frac{5!}{(2!)(2!)}x^2\left(1-x\right)^2 \text{ for }\\ \qquad \!\! 0\leq x<1\\ 0 \quad \text{ otherwise}\end{array}\right.\),,D,\(\left\{\begin{array}{1}\frac{5!}{(2!)(2!)}x^2\left(1-x\right)^2 \text{ for }\\ \qquad \!\! 0\leq x<1\\ 0 \quad \text{ otherwise}\end{array}\right.\)
21,"For a sample of seven cars that break down on the Pennsylvania turnpike, what is the variance of their minimum distance to the next mile marker?",What type of distribution is the minimum of seven uniform random variables?,\(7\left(\frac{1}{7}\right)\left(\frac{6}{7}\right)\),\(\frac{(7-1)}{(7+1)^2(7+1+1)}\),\(\left(\frac{1}{7}\right)^2\),\(\frac{1}{12}\),,B,\(\frac{(7-1)}{(7+1)^2(7+1+1)}\)
22,"For a sample of seventy cars that break down on the Pennsylvania turnpike, what is the probability that their average distance to the next mile marker is bigger than 0.52 miles?",Apply CLT.,\(\left(0.52\right)^{70}\),\({{70}\choose{35}}\cdot(0.52)^{35}\cdot(0.48)^{35}\),\(1-\Phi\left(\frac{0.52-0.50}{(1/12)\sqrt{70}}\right)\),\(\Phi\left(\frac{0.52-0.50}{\sqrt{12}}\right)\),,C,\(1-\Phi\left(\frac{0.52-0.50}{(1/12)\sqrt{70}}\right)\)
23,"Thirty percent of the customers using a drink vending machine, purchase bottled water. What is the probability that the tenth customer from now is the third one to purchase bottled water?",What type of variables is the number of customers before three purchase water?,\({{10}\choose{3}}(0.3)^3(0.7)^7\),\(\frac{9!}{2!7!}\cdot(0.3)^2\cdot(0.7)^7\),\((0.3)^{3}(0.7)^{10}\),\( \frac{ {{3}\choose{2}}\cdot{{10}\choose{2}}} {{{13}\choose{4}}}\),,B,\(\frac{9!}{2!7!}\cdot(0.3)^2\cdot(0.7)^7\)
24,"Thirty percent of the customers using a drink vending machine, purchase bottled water. What is the probability that exactly three of the next ten customers purchase bottled water?",What type of variable is the number who purchase water out of the next customers?,\(e^{-0.3}\),\(\left(\frac{3}{10}\right)^3\),0.5,\({{10}\choose{3}}\cdot(0.3)^3\cdot(0.7)^7\),,D,\({{10}\choose{3}}\cdot(0.3)^3\cdot(0.7)^7\)
25,"Thirty percent of the customers using a drink vending machine, purchase bottled water. What is the variance of the number of customers it will take before three buy bottled water?",What type of variables is the number of  customers before three purchase water?,\(3(0.3)(0.7)\),\(\frac{1}{0.3^2}\),\(3\frac{0.7}{(0.3)^2}\),\(10(0.3)(0.7)\),,C,\(3\frac{0.7}{(0.3)^2}\)
26,"Thirty percent of the customers using a drink vending machine, purchase bottled water. What is the probability that at least one of the next ten customers buy bottled water?",Think about the complement event.,\(1-(0.7)^{10}\),\((0.3)^{10}\),\({{10}\choose{1}}\cdot(0.3)\cdot(0.7)^9\),\((0.7)^{10}\),,A,\(1-(0.7)^{10}\)
27,"The total weight of the fish caught by a fisherman, \(X\), has a moment generating function, \(M_X\). The fish can be sold for $2 per pound. What is the moment generating function of the sale price of the catch?",We want theMGF of 2x.,\(M_X(t+2)\),\(M_X(t)\),\(\left(M_X(t)\right)^2\),\(M_X(2t)\),,D,\(M_X(2t)\)
28,"The total weight of the fish caught by a fisherman, \(X\), has a moment generating function \(M_X\). The fish can be sold for $2 per pound. What is the expected value of the sale price of the catch?",Sale price is 2x.,\(2M'_X(0)\),\(\left(M'_X(0)\right)^2\),\(M''_X(0)\),\(M_X(2)\),,A,\(2M'_X(0)\)
29,"The total weight of the fish caught by a fisherman, \(X\), has a moment generating function \(M_X\). A second fisherman operates independently and with the amount caught following the same distribution. The fish can be sold for $2 per pound. What is the moment generating function of the total weight of the catch from both fishermen?",What is the MGF of the sum of two independent and identically distributed random variables?,\(M''_X(t)\),\(2M_X(t)\),\(\left(M_X(t)\right)^2\),\(2M_X(2t)\),,C,\(\left(M_X(t)\right)^2\)
30,"The total weight of the fish caught by a fisherman, \(X\), has a moment generating function \(M_X\). A second fisherman operates independently and with the amount caught following the same distribution. The fish can be sold for $2 per pound. What is the moment generating function of the total sale price of the catch from both fishermen?",What is the MGF of the sum of two independent and identically distributed random variables?,\(\left[2M_X(t)\right]^2\),\(\left(M_X(2t)\right)^2\),\(2M_X(2t)\),\( \left(M'_X(t)\right)^2\),,B,\(\left(M_X(2t)\right)^2\)
